# 
# 02/17/2020 01:49:47
# The parameters defined in the project are:
# ,P1 - Force Y Component [N],P2 - Force Z Component [N],P3 - Force X Component [N],P6 - Equivalent Stress 4 Maximum [MPa],P7 - Equivalent Stress 4 Average [MPa],P8 - Force Reaction Maximum X Axis [N],P9 - Force Reaction Maximum Y Axis [N],P10 - Force Reaction Maximum Z Axis [N],P11 - Force Reaction Maximum Total [N],P12 - NailEqvVonMises Minimum [MPa],P13 - NailEqvVonMises 2 Maximum [MPa],P14 - NailEqvVonMises 2 Average [MPa],P15 - NailEqvVonMises 2 Minimum [MPa],P16 - Total Deformation Maximum [mm],P17 - Normal Elastic Strain Maximum [mm mm^-1],P18 - Normal Elastic Strain Average [mm mm^-1],P19 - Normal Elastic Strain Minimum [mm mm^-1],P20 - UX_GAP Maximum [mm],P21 - UX Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
DP 0,0,0,-765.08349,91.374293613580448,8.8626333701547484,765.08337032044085,-6.6516930852245082E-13,-8.8762608374537422E-12,765.083370320425,0.0493884230714849,129.20058810581077,4.7025702173349941,0.031084799513045491,1.0036990073770848,0.00070822908310219646,-9.1293564356763262E-05,-0.00098518148297443986,0.021414145827293396,0.033830471336841583
DP 1,0,0,-845.2273,91.932463038467631,9.67601768806656,845.22716778379754,3.8583719552676143E-13,-9.1149778697063866E-12,845.22716778379754,0.054561258537757215,129.226846251454,5.0764826248957737,0.034158021505760673,1.1088525243376517,0.00078085281711537391,-0.00010148534581652886,-0.0010877503082156181,0.023646313697099686,0.03736930713057518
DP 2,0,0,-878.15044,92.167290370658151,10.011233170213668,878.15030263373319,-1.9709130161249533E-12,-7.6082803251997788E-12,878.15030263373319,0.056686262626734145,129.23771556193225,5.230320943908878,0.035417435627312283,1.1520482065455291,0.00081052423047367483,-0.00010569413687799109,-0.00112985260784626,0.024562742561101913,0.0388232097029686
DP 3,0,0,-983.25668,92.938098305156331,11.084926119633886,983.25652619230539,-4.4652476161033405E-13,-7.83289058614578E-12,983.25652619230539,0.063470268708116187,129.2726502856631,5.7222579086717138,0.039438673787819012,1.2899431631830933,0.00090510128939058632,-0.0001191697664978293,-0.0012639606720767915,0.027487404644489288,0.043464884161949158
DP 4,0,0,-1193.41868,94.573230024461736,13.244774232064717,1193.4184933173449,1.8151591341108997E-12,-1.0304937458904817E-11,1193.4184933173449,0.0770350054360687,129.34367607943503,6.7090801711998909,0.047488804581705034,1.565646820278197,0.0010935175232589245,-0.0001461869968182396,-0.0015312626492232084,0.033332515507936478,0.052746951580047607
DP 5,0,0,-1261.72638,95.130836773166877,13.949730709272757,1261.7261826321596,-5.9202642788136473E-13,-6.448563905081528E-12,1261.7261826321596,0.081443866845018989,129.36705943820027,7.0306005901200477,0.050110587113844272,1.6552521084230813,0.0011546132154762745,-0.00015495996958621124,-0.0016179358353838325,0.035231940448284149,0.05576401948928833
DP 6,0,0,-1530.51109,97.443741060141747,16.734255903343914,1530.5108505870771,6.444525468829454E-12,-4.6884163218408048E-12,1530.5108505870771,0.098792314130511372,129.46084141664278,8.29881035013546,0.060430855297306706,2.00782158701458,0.0013937609328422695,-0.00018960376063487802,-0.0019582111854106188,0.042701616883277893,0.067637495696544647
DP 7,0,0,-1812.9059,100.06719003472072,19.673410851436262,1812.9056164129217,9.5979821312930369E-12,3.7180536427428024E-12,1812.9056164129217,0.11701972211629484,129.56202037738271,9.6356086458791133,0.071286983648485888,2.3782148836611987,0.0016432894917670637,-0.00022614065981522161,-0.0023151753703132272,0.050543740391731262,0.080113925039768219
DP 8,0,0,-2470.80598,106.86129888165512,26.554707599743946,2470.8055934997292,6.8597211244636469E-12,-7.1078282148917538E-12,2470.8055934997292,0.15949393386586977,129.80814213094172,12.762848542663951,0.096590586668783535,3.2410230532131665,0.0022212588228285313,-0.00031147530234258008,-0.0031488112872466445,0.068800188601017,0.10918693244457245
DP 9,0,0,-2874.063,123.3047988181761,30.787392944697803,2874.0625504195277,1.1952841494355937E-11,-3.7550518250384357E-13,2874.0625504195277,0.18553498847373154,129.96553201226502,14.686425160317613,0.11212096646378186,3.7698196881324741,0.0025735339149832726,-0.0003637751902338463,-0.0036587516078725457,0.079983517527580261,0.12700958549976349
DP 10,0,0,-2860.2987,122.71939303530132,30.642783369348429,2860.2982525726261,5.0773968363060362E-12,1.7130658003239319E-11,2860.2982525726261,0.18464606345497439,129.96006958545786,14.62069936741991,0.11159086963007946,3.7517711288134405,0.0025615557096898556,-0.00036198724601526293,-0.0036413518246263266,0.079601995646953583,0.12640120089054108
DP 11,0,0,-2613.42143,112.21941433896141,28.050642333038965,2613.4210211908612,2.6487340099023982E-11,-7.8922146595772347E-12,2613.4210211908612,0.16870304076550596,129.86322136569208,13.442644884417406,0.10208210049257939,3.4280418950712677,0.0023460995871573687,-0.00032996483410521911,-0.0033291991567239165,0.072755984961986542,0.11548995971679688
DP 12,0,0,-1561.85825,97.725465362774486,17.059920963138367,1561.858005683493,-7.741030039198904E-14,9.6812141636704041E-13,1561.858005683493,0.10081558161179521,129.47195718866038,8.4469974603691664,0.061635056065410782,2.0489382705413912,0.0014215042465366423,-0.00019365788191622372,-0.0019978187046945095,0.043572288006544113,0.069022379815578461
DP 13,0,0,-46.74742,87.29290483895528,1.9520008542787692,46.747412687447174,-1.4432149052223675E-12,-8.3550401840104538E-12,46.747412687447174,0.0030232164344979142,128.98790080699573,1.4486033980009181,0.0025584369639639129,0.061158996025436535,4.54566725238692E-05,-3.6460430297145223E-06,-5.953541949565988E-05,0.0013320842990651727,0.0054255067370831966
DP 14,0,0,-75.87356,87.42445444705001,2.205935411373769,75.873548131338822,-9.8836292882625854E-13,-9.7659983398779016E-12,75.873548131338822,0.00490318831855489,128.99590063132845,1.56801141378479,0.0040600586973768308,0.099363120151149231,7.2424601967213675E-05,-7.1692938042026519E-06,-9.7177533461945131E-05,0.0021471420768648386,0.0054753771983087063
DP 15,0,0,-69.65952,87.396144637357352,2.1513159826742907,69.659509103380842,-1.0646109644893431E-12,-9.21519111019009E-12,69.659509103380842,0.0045020978629913338,128.99419232525196,1.5420987080791579,0.0037383628445213056,0.091210763638528786,6.6671042077359743E-05,-6.4179113252159971E-06,-8.9146462414646521E-05,0.0019732492510229349,0.0054647428914904594
DP 16,0,0,-89.36315,87.486382545783,2.3251835286681377,89.36313602120542,-9.1230321908053469E-13,-9.2916811397780741E-12,89.36313602120542,0.005773885046145729,128.99961718404259,1.6248605608994695,0.0045615764780457431,0.11706062113526802,8.491541666444391E-05,-8.7982764140678561E-06,-0.00011461175745353103,0.002524644834920764,0.0055332975462079048
DP 17,0,0,-91.63911,87.496892445472469,2.3453878569231184,91.63909566518231,-1.8898058031652232E-12,-9.43441678946666E-12,91.63909566518231,0.0059207886800347435,129.00024492911797,1.634522431584666,0.0046451929169992762,0.12004656378678794,8.7022885054466315E-05,-9.0729788085107028E-06,-0.00011755329614970833,0.0025883375201374292,0.0055618905462324619
