# 
# 02/16/2020 16:13:15
# The parameters defined in the project are:
# ,P1 - Force Y Component [N],P2 - Force Z Component [N],P3 - Force X Component [N],P6 - Equivalent Stress 4 Maximum [MPa],P7 - Equivalent Stress 4 Average [MPa],P8 - Force Reaction Maximum X Axis [N],P9 - Force Reaction Maximum Y Axis [N],P10 - Force Reaction Maximum Z Axis [N],P11 - Force Reaction Maximum Total [N],P12 - NailEqvVonMises Minimum [MPa],P13 - NailEqvVonMises 2 Maximum [MPa],P14 - NailEqvVonMises 2 Average [MPa],P15 - NailEqvVonMises 2 Minimum [MPa],P16 - Total Deformation Maximum [mm],P17 - Normal Elastic Strain Maximum [mm mm^-1],P18 - Normal Elastic Strain Average [mm mm^-1],P19 - Normal Elastic Strain Minimum [mm mm^-1],P20 - Directional Deformation Maximum [mm],P21 - Directional Deformation 2 Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
DP 0,3.01058,-21.64948,-765.08349,92.6634157509939,10.635348103220663,765.08337032044085,-0.6021159058147626,21.649476613430579,765.39553628672024,0.057899249726788692,129.19342292262166,5.3988722496359749,0.020785753529318766,1.2207579475249197,0.00090372914564795792,-8.4828640870008654E-05,-0.0011757639003917575,0.0386670343577862,0.0293313954025507
DP 1,82.49928,-94.87146,-845.2273,100.43575883048985,20.864083327006416,845.22716778382062,-16.499853418981484,94.871445159549424,854.526585506686,0.15273042352111918,129.23006966573431,9.463488035055617,0.074892575904130038,2.5750600898367688,0.0017286807706113905,-0.00010982337116167555,-0.0022749692434445024,0.11329846084117889,0.062966085970401764
DP 2,91.78097,-105.46299,-878.15044,101.88882237673185,22.487246499674946,878.150302633737,-18.3561911285982,105.46297350274945,889.20983834779213,0.16382195174610767,129.24095835759613,10.119976358244525,0.1381478437342632,2.7838988898239241,0.0018625168595463037,-0.00011487993383435962,-0.0024504887405782938,0.12340563535690309,0.068457089364528656
DP 3,82.77014,-85.16808,-983.25668,101.03994673684323,21.602209945969275,983.256526192302,-16.554025410505862,85.168066677424335,990.402892672277,0.12194251689364929,129.28234940946552,9.8550983676958221,0.055717934186769749,2.6860265088161528,0.001767290523275733,-0.00013122302883526182,-0.0023836576147004962,0.11991570144891739,0.06430218368768692
DP 4,66.02018,-71.08292,-1193.41868,101.50928303552114,21.7783067947604,1193.4184933173317,-13.204033934534824,71.082908880709738,1197.3550613457821,0.13648290089327131,129.35370961242216,10.061456589844136,0.078590403294350644,2.6942409365590478,0.0018067031924147159,-0.00015454167478191666,-0.002439869218505919,0.11319152265787125,0.062285672873258591
DP 5,58.66703,-69.37718,-1261.72638,101.83618669069962,21.949684473995489,1261.7261826321806,-11.733404164580142,69.377169147535767,1264.993269100961,0.089404111579119636,129.37497653740138,10.170646351065631,0.08546481737975449,2.7035275426560932,0.001841364981373772,-0.00016006696892936434,-0.0024702554801478982,0.10931446403265,0.062354002147912986
DP 6,53.79535,-63.61517,-1530.51109,103.97918981361711,24.045413485612453,1530.5108505870483,-10.759068316992316,63.615160048860929,1532.7766605507061,0.096189059557000647,129.47001239179238,11.171323767399317,0.12065538458540016,2.9663330455931747,0.0020212131203152239,-0.00019401650506052162,-0.0027396833756938577,0.11655046790838242,0.067460916936397552
DP 7,61.49655,-59.09513,-1812.9059,106.88793309926425,27.066677592710715,1812.9056164129374,-12.299308076060809,59.095120755914266,1814.9106952678069,0.14282622637813341,129.5778798196221,12.544566801146068,0.12300083836130063,3.3665592768753259,0.0022417536238208413,-0.00023581168642272554,-0.0031095285667106509,0.13599935173988342,0.0742778405547142
DP 8,60.34272,-84.15851,-2470.80598,137.6599060454582,35.69637257464025,2470.805593499666,-12.068542112154102,84.158496835322737,2472.9747625434106,0.16502163852338581,129.82232800360504,16.359731045518348,0.12838321085009916,4.4181147639157166,0.0030263368389569223,-0.00031055502717925197,-0.004115257179364562,0.16441245377063751,0.10106838494539261
DP 9,64.16416,-110.85019,-2874.063,161.01098029436858,42.141937788811894,2874.0625504195405,-12.832829992606685,110.85017266002164,2876.9150739365436,0.37543590977343994,129.98198073404106,19.149779910572068,0.18731906821369931,5.2024979890292569,0.0036056428216397762,-0.00035495635297774314,-0.0048397749196738005,0.18660320341587067,0.121793732047081
